,Review,Date,day,month,year
0,"First to Flipkart delivery service - Thanks a lot, I received it earlier than promised. I also received a chocolate from you guys, it felt really nice. Multiplied my joys of receiving my new phone.      Now to the iPhone.      Packaging - As always - neat &amp; superior!      The phone - It feels great. I personally chose the iPhone 7 over 7+ because of the size. Moving from iPhone 5 to 7 was absolutely no downer in terms of size, the size suited me well. Specifications wise - still exploring. ;)      What's evidently different - the home button (the number 3 pressure press feels quite weird. Chose number 1 option) and yes of course the no-audio jack. So you do receive wired earphones better known as lightning compatible earphones. The end of your wired earphones connect to the slot of the lightning connector.       READ MORE    ", 8 Oct 2016,8,Oct, 2016
1,PlZzz take it from Apple store it was not sealed n earphone r replaced n stickers r missing n it is opened n used set ....not acceptable from Flipkart       READ MORE    , 16 Jun 2017,16,Jun, 2017
2,Buying the most awaited phone of the year and that too from flipkart was amazing.    Really thankful to flipkart for understanding the customer's egarness.    Flipkart Delivered the product on 7/10/16 at 7.10 pm when apple conducted all india launch.    This kind of commitment from flipkart towards its customers is highly appreciable.    Flipkart is another word for Geniune products.      Iphone 7 in first looks is a awesome phone with gr8 camera. Altogether a new home button which is more faster than previous phones.    build quality is very premium with black colour adding further to it.    sound quality is also very good. Battery backup is very satisfactory.    Highly reccomended.    KEEP IT UP FLIPKART.       READ MORE    , 7 Oct 2016,7,Oct, 2016
3,"Writing the review upgrading from an iPhone 6.      The increased speed and camera are great! 3D Touch feels a little incomplete but is convenient nonetheless. While the design is the same as the 6, the black really makes it stand out. Stunning finish on the matte black.      Will update the review upon further usage.       READ MORE    ", 8 Oct 2016,8,Oct, 2016
4,Dont worry go for it 100% original       READ MORE    , 14 May 2017,14,May, 2017
5,received product..nice packaging and excellent overall experience       READ MORE    , 14 May 2017,14,May, 2017
6,"Brought a month ago and  Used phone for while ,  facing battery problem .. Now it is in apple service centre from a week . Prefer buying iPhone from croma or maple.       READ MORE    ", 20 Sep 2017,20,Sep, 2017
7,I have been using iphone since few days . very much contended from the experience and services provided by flipkart on product delivery. Thanks for giving the seamless experience.       READ MORE    , 15 Nov 2016,15,Nov, 2016
8,Awesome phone.. m in love wid iphone.. really happy.. finally I got this after so long wait because the worst delivery service by flipkart.. worst experience ever       READ MORE    , 21 Oct 2016,21,Oct, 2016
9,good delivery speed by Flipkart and my new iPhone is awesome.       READ MORE    , 9 Oct 2016,9,Oct, 2016
10,"Shift to IPhone 7 from IPhone 6 Plus    3 features that standout are:    1. Loud and Clear Speakers    2. Camera quality is top notch, a tough competition to Galaxy S7    3. Waterproofing      Worthy upgrade from IPhone 6 Plus       READ MORE    ", 8 Oct 2016,8,Oct, 2016
11,I buy new iPhone 7 from flipkart. It is really awesome. Thanks       READ MORE    , 10 May 2017,10,May, 2017
12,"When I got this phone, Battery is dead and as I know all phone which is brand new that is come with some of charge battery. So as I think they are providing used display phones.    Seller was ---SuperComNet       READ MORE    ", 28 Mar 2017,28,Mar, 2017
13,Just awesome       READ MORE    , 1 Nov 2016,1,Nov, 2016
14,The black is a Good and different colour!       READ MORE    , 7 Oct 2016,7,Oct, 2016
15,What you expect    Its iphone;)       READ MORE    , 25 Dec 2016,25,Dec, 2016
16,the battery life of the cellphone delivered is very poor.    charged at 84% in night and in mornin the phone was switched off without any use.    dont know whats the problem       READ MORE    , 31 May 2017,31,May, 2017
17,Not even a month has passed since i started using it and its display has gone dead.. Could not expect that flipkart is offering such low quality phones..       READ MORE    , 4 Jun 2017,4,Jun, 2017
18,"The product is as usual best ,and thanks for the best service by flip kart,its always the best keep it up I give thme 10 out of 10 for their genuine products provided ever       READ MORE    ", 21 Nov 2016,21,Nov, 2016
19,On Time Delivery Best Part Of Flipkart.      Amazing Deal as always with Flipkart.      Coming to iPhone 7. Really nice feel.      Apple has the best product they know what people want. All the features in one hand. Really a fan of apple.      Flipkart delivered what they promised.       READ MORE    , 8 Oct 2016,8,Oct, 2016
20,"Upgraded from iPhone 6 to 6s to se to 7... Build quality has been awesome from Apple... They are surely investing a lot of their intellect in designing... No one can beat them in that section. Coming to performance, well there's only one conclusion - at the end of the day it's an Apple..The Name says it all... Camera captures natural true tone colors... Not oversaturated or washed out, almost the perfect.. Battery - has improved a bit but not spectacular as always... Definitely an improvement is there.. A10 processer handles almost all the apps, period.      Satisfied with apple, not with flipkart.. Satisfied with the delivery executive, not with flipkart.       READ MORE    ", 25 Oct 2017,25,Oct, 2017
21,Voice reception is very feeble. Product packaging does not seem to be original. Seems like meddled and repacked using small small cello tapes at corners and stickers.       READ MORE    , 8 Oct 2017,8,Oct, 2017
22,Flipkart always gives his best when it comes to quality and delivery. Thanks for making purchases so easy and effortable. 5Star to all your services and offers you being to us. 5star to Flawless service and trust full offers       READ MORE    , 18 May 2017,18,May, 2017
23,"Excellent product, worth the money...       READ MORE    ", 15 Nov 2016,15,Nov, 2016
24,I got the product on 25th sept. Since then I have been waiting for the order invoice but have not received it even after following up with flipkart customer service executives multiple times. I am so disappointed with their responses. It makes me feel as if I am dealing with some sarkari office which doesnt want to work.      For this bad experience i would never shop again with flipkart.       READ MORE    , 14 Oct 2017,14,Oct, 2017
25,"iPhone 7 - 32GB Black      Pros :    - Superfast A10 Processor    - Improved Home button (Haptic Feedback)    - Excellent Low light camera with Image stabilisation    - 32GB Storage from base models    - Improved Stereo sound from speakers    - Great battery life. Almost lasts for a day with a full charge. Significantly better than the predecessor.    - Most importantly, this time it is waterproof.      Cons :    - I had the iPhone 6S (16GB), I haven't noticed much difference and the aesthetics of the phone just feels the same. Not worth upgrading from an iPhone 6 / 6S.    - No headphone jack. Have to insert the adaptor in order to use any external headphones with 3.5mm jack.    - Screen quality is the same.      Verdict : I feel the phone was overhyped while the phone is a very good buy for new iPhone users or anyone upgrading from 5S and below.       READ MORE    ", 8 Oct 2016,8,Oct, 2016
26,"You Fraud Flipkart    The Iphone displaying in ur app as delivered was never delivered to me. Although it was COD but still you did not fulfill your promise of delivering the phone on Sale Price of 39,999/-    Flipkart is Fraud. Will never order anything from flipkart anymore.       READ MORE    ", 26 May 2017,26,May, 2017
27,"It would be presumptuous to not acknowledge that all those who pre-ordered this device, myself included, have done it simply for the allure of the latest iPhone. Even as I say this, I wasnt entirely convinced of the iPhone 7 when I watched the livestream of the Apple Keynote. However, a timely launch in India, less exorbitant pricing and a hefty cashback was what finally swung me in favour of it.      While Apple might have not made much headway in design for 3 generations now, I take some solace in the fact that I got the Black variant which sets it apart from the earlier generations. Having said that, the accumulation of the incremental updates is what makes this a significant step up from the 6s - IP67 protection, cleaning up of antenna lines, camera with better low light performance and OIS, stereo speakers, brighter screen with wider colour gamut, 40% faster quad core CPU, hexa core GPU and the bigger 1960 mAh battery. However, the focus will be more on what has been lost, namely, the headphone jack and the physical Home button. Coming from Android phones with capacitive only buttons, the latter doesn't matter at all, especially since it is now a multi-function button that does a lot more than the physical one. However, I must admit that pressing it felt odd initially and I mistook the vibration as flexing of the case in which my phone was encased. The loss of the former however will not be an easy one. It may have been a courageous move but also a bit impractical. I use a Sony SBH54 Bluetooth headset and the audio quality is still some way off to justify using it all the time. It is even more antagonizing when you have invested a significant amount in purchasing high-end 3.5mm jack headphones. At least, there is the headphone adapter which comes only in white and goes very well (not!) with the Black variant. I guess that is a compromise I have to live with and really hope that Apple has made the Lightning port a lot sturdier. I can somehow accept this decision if indeed, as Apple has stated, it was a price to pay for a larger battery, water resistance and stereo speakers without ruining the dimensions, even though I can accept an additional 2mm of thickness any day. Apart from the device itself, you buy yourself in to a large repertoire of accessories that simply dont exist for other devices.      As far as iOS is concerned, Apple has been more forthright about picking up whats good in others (as has Android) which means a more accelerated rate of iOS progression compared to an approach of deterrence through suing. Also, Apples walled garden now has a pet door with overtures to developers to utilize aspects of iOS that were previously, preciously locked away. iOS also continues to be the platform of choice for innovative app developers who are not simply targeting income through baited ad clicks. Even Google and Microsoft continue to offer an incredible experience on iOS which is inexplicably better than what they offer on their own platform. It is perhaps not contestable that iOS offers the best security, privacy, optimization and consistency of any phone, even though most of it comes from Apples control of every aspect of the device. Also, the exclusivity of the OS has some appeal to it at a time when Android can be experienced on any PC. To sum it up, you cannot go wrong with buying the iPhone, unless you had to take out a mortgage to finance one.      P.S. I received my iPhone at around 8 p.m., about an hour after the launch and really loved the custom packaging. Enjoyed purchasing something from Flipkart after a long time.       READ MORE    ", 8 Oct 2016,8,Oct, 2016
28,It's was an owsm experience with the sale one of the best product in market today       READ MORE    , 26 Sep 2017,26,Sep, 2017
29,nice genuine product       READ MORE    , 21 Aug 2017,21,Aug, 2017
30,"Awesome Product. No need to tell more about product. Original, genuine, in time delivery.    Best deal from flipkart. Awesome!!!       READ MORE    ", 12 Aug 2017,12,Aug, 2017
31,Its my first review ever    Thanx to Flipkart for wonderful Deal    I'm so happy to have this iPhone 7 for just  38499    Amazing phone @Amazing price       READ MORE    , 25 May 2017,25,May, 2017
32,Got iphone 7 at unexpected price 39999..thank you flipkart..packing was not as good as a iphone 7 should have..       READ MORE    , 23 May 2017,23,May, 2017
33,Great product :)       READ MORE    , 21 Oct 2016,21,Oct, 2016
34,"Hi I've just got my iPhone 7 32 gb black , and one of the bottom speakers are not working . I called up the guys at service centre and this woman Shruti , who's a senior attended me and said that they can't help me anyhow , I'll have to visit the service centre . What kind of stupidity is this ? I spend more than 40,000 on a mobile phone thinking that it's flip kart and seller seems to be good and this is the type of stabbing they do to you. Now I'll have to run to the service centre for their bastardness , the retailer has mentioned 10 day replacement guarantee . I received my item 10 hours ago and this is how they work . The apple logo glass is tiny bit missing , this can never happen if u buy it from the store and this ensures the defective or factory item which they've sent me    Don't ever but from this supercomputer net seller and never ever everrrrr trust people at flip kart . I'm really regretting as to what I've done . Would definitely never ever recommend or myself buy from flipkart. And if I get charged for this stupidity I will sue you sir / madam from supercomputer net . Mark my words , I will .    And if you're even reading this try helping me out for the sake of ur customer loyalty , I've been ordering from u since years and even you flipkart ! Highly Disappointed and ensure coming back !      Update 19/05/17 - received my replacement today. The product seems to be okay , but the box was duaty from inside and plastic wrap on phone had bubbles . Can't say what is happening to flipkart and to us . Even this seller , shreyansh pvt. Is a fraud i feel . Idk from where he's getti g such used products , replacing my item was a gamble , im not gonna try it again . There are slight scuffs on the phone . Idk what. Really giving up and never ever everrrr comimg back to shop from Supercom.net or flipkart , you gys suck !       READ MORE    ", 17 May 2017,17,May, 2017
35,"Firstly flipkart did a fair job on delivering the phone despite the huge number of orders.    Overall iPhone 7 is a nice upgrade from iPhone 6 as I got 3D touch, Live photos, better camera, Better processor, Stereo speakers and it's water proof.    But I don't think it has much to offer if you are already using iPhone 6S.       READ MORE    ", 20 Oct 2016,20,Oct, 2016
36,"Used an ios product for the first time, thanks to flipkat's 40k price, nice phone, heats a little more than what I expected but performance is amazing, benchmark score varies according to the temperature, kept in the fridge and benchmark scores were on par with other iPhone scores!! Overall satisfied with the purchase       READ MORE    ", 25 May 2017,25,May, 2017
37,"Thanks to flipkart for fast delivery. No need to explain the product, iphone is just self explaintory.    And for those having issues or claiming the product to be defected, first of all go for fassured seller only and watch out some unboxing videos beforehand so as to get an idea of sealed box and when ever unboxing new iphone just look out for sealing i.e. Original seal is not hampered and match that IMEI no of phone and bill with that of box, you will be good to go       READ MORE    ", 17 May 2017,17,May, 2017
38,"At first I was very sceptical about the seller and genuineness of the product since I bought this product at extremely cheap rate during sale. However after one month of using it, the product has shown absolutely no glitches that makes me doubt that the product is counterfeit or something. Hence I would recommend others to go for this one.       READ MORE    ", 17 Jun 2017,17,Jun, 2017
39,Brilliant product with super internal specs!!       READ MORE    , 7 Oct 2016,7,Oct, 2016
40,"Was not expecting this, the cable inside box is not working i sent flipkart a complain  but not receiving any reply yet i checked it with other devices too bt no use now using my old iphone's cable for charging       READ MORE    ", 8 Mar 2017,8,Mar, 2017
41,"So I got my first Apple I Phone 7 , thanks to Flipkart for amazing low price of 38499/- on there big billion day, package arrived before time.    Here was my New I phone 7, mesmerizing look, feature touch , crisp and clear display, sound at its best, even the ear-pods are too classy and give a good sound.  When I started using Apple I phone then i realized why they cost more than any other smartphone. They have terrific after sale support. My phone was heating a bit for Initial 2 days, then i contacted apple customer service through chat and phone support and they solved my queries .Apple has unique feature of adapting when we first start to use the phone and that's why  in initial days it will heat a bit to get with the envrm and it was true.  Now I don't feel like using other phone's ,I phone are light weight and this u can feel once u start using this gem device. Camera is above par no other phones comes close to pic quality than I phone 7 .Finally I must say if you have not used I phone , Use it for once you will surely not regret. Thanks.!!       READ MORE    ", 24 May 2017,24,May, 2017
42,"Ordered on 22nd last month during Big Billion Day offer &amp; received on 24th !! Too happy with the device. Confirmed positive as a genuine device from Apple India Customer Care!! Happy with the performance since I just switched from Oneplus 3T . But only issue is the battery backup after upgrading to ios 11. My advise to the newcomers, do not upgrade from ios 10 before the fix is being released by Apple !! Cheers !!       READ MORE    ", 5 Oct 2017,5,Oct, 2017
43,Awesome phone.       READ MORE    , 14 May 2017,14,May, 2017
44,Awesome phone at best price..thank you flipkart for great deal. Quick delivery with great packing. Initially afraid to buy it online but flipkart made this experience great n amazing.       READ MORE    , 14 May 2017,14,May, 2017
45,Product I received is having damage... Not able to replace it       READ MORE    , 14 Apr 2017,14,Apr, 2017
