,Review,Date,day,month,year
0,"Pros:    Awesome display.    Outstanding Camera.    Excellent performance, no lag at all.    Really fast charging.    Great gaming experience with Samsung Game Launcher.    Great customized android experience given by Samsung as usual.    Cons:    Only issue is, phone gets hot earlier than normal, but its becoz of its default setting.    It will go away with three simple steps:    1. Go to Settings -&gt; Smart Manager -&gt; Battery -&gt; App power saver -&gt; Details -&gt; Put the apps into 'Always power saver' mood which you don't want to run in background.    2. Go to Settings -&gt; Smart Manager -&gt; Battery -&gt; Battery Usage -&gt; More -&gt; Optimize battery usage -&gt; Tap it to 'All Apps' .    3. Go to Settings -&gt; Smart Manager -&gt; Battery -&gt; Turn off fast cable charging. Fast cable charging gets the phone really hot, its not good for device, Use fast cable charging only when you really need it. Standard charging also charge it in good time.       READ MORE    ", 12 Apr 2016,12,Apr, 2016
1,"Absolutely great phone, Samsung at its best, great reply to all the negative critics. This is the best phone right now!      Pros:    ++ Stunning display, 2560x1440 pixel, you have to see it to experience what an amazing display, clarity and color this phone has    ++ Fast, fast, fast, super smooth and fast, no lag at all so far. Multi tasking king. Open/close/play/use apps really fast    ++ Charging, charges in 90 minutes even with its massive 3000 mAH battery!    ++ If Fast Charging enabled, charges in about 1 hour!    ++ Battery backup is very impressive, for my moderate usage I can easily get through  1.5 days.    ++ All the reviews talk knows about the camera, THE BEST and fast, no more explanation needed!! Low light or whatever, just click it!    ++ First time using fingerprint feature, very very impressed at the ease of unlocking the phone with just your fingerprint.    ++ 32 GB of space more than enough with memory card slot if you want more    ++ Very handy Always On Display feature: Shows clock, date, battery, message/call notification while the device is locked. Bye bye to unlocking phone just to see time.    ++ The Default Browser is simple, lightweight, feature-rich, smooth.    ++ Water-proof and dust resistant, can't ask for more, no more worries during rainy days.    ++ Dual Sim/Memory card, finally Samsung brings in these on its flagship phone.    ++ Overall a very beautifully crafted phone, the design looks simply gorgeous and perfect.       READ MORE    ", 21 Mar 2016,21,Mar, 2016
2,Timely delivery by Flipkart. Excellent product. Manufacturing date is September 2017. Flipkart rocks.       READ MORE    , 23 Sep 2017,23,Sep, 2017
3,Don't take it from flipkart they are making fool by showing no cost emi.    And you will end up with paying gst and many hidden cost       READ MORE    , 13 Oct 2017,13,Oct, 2017
4,DATE OF MFG.   SEPTEMBER 2017    ANDROID VER.    ANDROID N    SECURITY PATCH    AUGUST 2017    EXCELLENT DEVICE    NO HEATING ISSUES AS OF YET.       READ MORE    , 28 Sep 2017,28,Sep, 2017
5,"No doubt s7 looks gorgeous piece of tech, it's beauty and the beast, but there is always a fatal flaw and this one's is these      Over Heating problem    Poor battery life      Considering of returning it      Update: flipkart rejected my return request.      Not gonna buy anything from flipkart anymore       READ MORE    ", 27 Sep 2017,27,Sep, 2017
6,"A help for new buyer , what we see that if product is being sold at this much hefty discount, we look for negative feedback... Same way I did and bought it on diwali sale in morning and cancelled by evening after saw some distressed remarks, but all are not wrong and some are not true too (can say I took risk on second chance), Let me summarize      1. This is genuine Galaxy s7 and manufactured in sep 2017    2. operating software is Nougut and s7 eligible for Oreo update      3. When you start phone it heats up very fast and you start believing that you made mistake to buy but wait for sometime and let updates get completed all will be settled    4. change setting to Mid (in power saving mode) and phone will be cooled down      5. Camera as expected much better than fancied dual camera phones, software and usage make battery drain so depend on use      (This is based on one day's usage experience )      After a day use very happy, So be positive and buy it in case you get good deal and Thanks Flipkart for steal a deal like offer...       READ MORE    ", 28 Oct 2017,28,Oct, 2017
7,"My Review after the usage of 7 days      Pros:    1. Best Camera    2. Amazing Super Amoled Screen    3. Really Water Resistant Phone    4. Truly Fast Charging. Battery is full within 1hr    5. No Hanging / Lagging issues    6. No Heating Problem while playing Games    7. I Love Samsung Pay App. Works really well and love it as top banks credit / debit cards can be embedded virtually and works very if we touches swiping machine with mobile. No need  to carry our cards    8. Phone is having many useful sensors    9. Samsung Health works well with built in sensors to measure heart beat rate, blood glucose levels, step counter etc    10. Comes with Nougat 7.0(surprise as description says it's Marshmallow)    11. Light weight, easy for single hand operations, Looks Premium and lots and lots of built in features. Buy it and feel Premium    12. Bought at just 20k after exchange of my useless Yu phone.    13. Premium phone at 20k         Cons:    1. Battery and Battery only is the big constraint.  3000mah is not at all sufficient for this Beast. However, Thanks for Fast Charging technology and in built customizable battery saving modes    2. No dedicated Memory Card Slot    3. No grip for holding phone bcoz of it's glassy finish on all the sides      Reducing 1 star for just because of low capacity battery. Otherwise, I 'll offer 5 star       READ MORE    ", 8 Oct 2017,8,Oct, 2017
8,I ordered s7 from flipkart .    Recieved a seal broken product with hissing sound on reciever during call.    So i replaced the product. On recieving s7 on replacement the problem of hissing sound on reciever was present on this replaced product also. Flipkart is cheating with there customers. They are selling damaged products in the name of sell.    SALE MEANS SELLING DAMAGED PRODUCTS . I AM NEVER GONNA BUY AGAIN ON FLIPKART...       READ MORE    , 5 Oct 2017,5,Oct, 2017
9,Best deal for best phone       READ MORE    , 22 Sep 2017,22,Sep, 2017
10,Excellent deal Of gr8 mobile.The device is manufactured in September 2017 only with Nougat Update .So anyone giving negative feedbacks is fake.Flipkart is totally trustworthy       READ MORE    , 22 Sep 2017,22,Sep, 2017
11,Blazing fast delivery by Flipkart......kudos to you for this.............product came with latest software pre-installed......which was not the case when the phone was launched. Great product.       READ MORE    , 21 Sep 2017,21,Sep, 2017
12,Wow!!! I used iPhone 6 for 1 year now shifted to s7 feels like I am free from jail.       READ MORE    , 8 Nov 2017,8,Nov, 2017
13,Perfect phone though overpriced.       READ MORE    , 18 Sep 2016,18,Sep, 2016
14,"If you are looking to buy the best mobile of 2016 in non phablet category (&lt;5.5 inch) , buy galaxy s7. All of you know the specs, I am sharing my real world experience with galaxy s7.      Pros - 1. Display and design- it is breathtaking. This is the real beauty. It is amazing to hold, light weight, brilliant display. You cannot expect anything better. Super amoled display of Samsung is still the best display. QHD resolution is cherry on the cake. You will love it.    2. Camera- s7 has arguably the best camera of 2016.google pixel is also awesome. But considering we have to pay almost 14k extra on google pixel in India, I do not think it is worth it. So better go with s7. It has amazing camera performance in both artificial and low light conditions too. So unless you are a professional photographer, you will be amazed by the camera performance.    3. Processor and ram - As it has exynos 8890 processor and 4GB ram combination. So it performs really well. You will not feel any lag in day to day performance.    It can handle any game with ease.    4. Battery - Though it's battery is not as good as s7 edge. But it is still respectable in flagship category. Pixel, nexus6p, iphone7 all of them have inferior battery.    Screen on time when mobile data in on is around 270-300 mins.    It also supports fast charging when you can charge in 80mins. But even without fast charging , it gets charged in under 2hrs.    For medium users it will last 1 day. So do not expect anything miraculous. But Battery will not disappoint you.    5. Storage - out of 32GB, we get around 24GB free.    6. Fingerprint scanner works really well. It is as good as nexus 5x/6p .    7. Supports voLTE. I have used Jio sim , it works without any issue.    8. Call quality and network reception - I use airtel 4g as my primary sim. I have not faced any network issues.    9. IP68 certified.    10. NFC present.    11. S7 supports Wireless charging. iPhone 7, pixel does not support wireless charging.      Cons- 1.no support to daydream - I think this is the biggest con of s7 and s7 edge.    2. No USB type c .    2. Battery is above average in premium category but still not best like s7 edge. I do not feel the doze feature of android 6.0 performs like it should be. I have used nexus 5x and can vouch that doze feature performs better on nexus 5x than s7. The battery drop while non use is not upto my liking on s7.    3. Earphone provided is just OK.    4. Only 1 sim works on LTE at a time. Other gets to 2G mode automatically.    5. Multitasking on s7 is good. But not as great as those of iPhone 7 and pixel mobiles.    6. Hybrid sim.      Bottomline - if you are considering buying a flagship device with best value for money. S7 is the right choice.    I would advice to buy iphone 7 only if you prefer ios over android, otherwise iPhone is a waste of money compared to s7.    I would not advice to buy Google pixel as it is too costly in India. Certainly not a VFM.    I would also not advice to buy OP3(if you can afford s7), as it has no credible after sales support in India. camera, display, design, battery of s7 is better than those of OP3. Only advantage op3 has is its dash charging which charges op3 20mins faster than s7. But on the other hand you loose out on best camera, best display,25-30% longer battery life on s7, very reliable after sales support of samsung. So if budget is not a constraint , go for s7 instead of op3.    Both op3 and op3t are 5.5inch mobile. So s7 edge is their real competitor. Considering s7edge has even better battery apart from camera and display , so my suggestion would be to go for s7 edge , if you can afford it.      You can use s7 for next 2-3 yrs without any issues ( except daydream ) .    S7 is a great mobile and I hope the future S series would continue this trend.       READ MORE    ", 29 Oct 2017,29,Oct, 2017
15,Its a very good mobile. I love using it.    Contains all the features I required. Water resistant it is. Camera quality is good.       READ MORE    , 9 Aug 2017,9,Aug, 2017
